이름,역할,경력
강성용,고문,기업자문
고기동,고문,정부기관 경력
권계주,고문,
길병우,고문,정부기관 경력
김동현,고문,정부기관 경력
김성섭,고문,
김성수,고문,
김준석,고문,정부기관 경력 · 준정부기관 경력
김화진,고문,
목성호,고문,정부기관 경력
박기영,고문,정부기관 경력
박명춘,고문,경찰 경력
손호중,고문,경찰 경력
유현철,고문,경찰 경력
이용만,고문,공정거래
이재성,고문,입법 전문
이재열,고문,
이준재,고문,정부기관 경력
장상윤,고문,정부기관 경력
전종성,고문,
전진구,고문,
정기남,고문,
정찬호,고문,
조재정,고문,
진춘도,고문,
최원순,고문,정부기관 경력
최창덕,고문,정부기관 경력
홍정기,고문,정부기관 경력
강신선,전문위원,
강신영,전문위원,
강정선,전문위원,경찰 경력
강종구,전문위원,
구태본,전문위원,
권중탁,전문위원,
김대익,전문위원,
김성동,전문위원,
김손곤,전문위원,
김수환,전문위원,경찰 경력
김용덕,전문위원,
김용성,전문위원,
김재근,전문위원,
김판곤,전문위원,
김형근,전문위원,고용노동부 경력
김형식,전문위원,경찰 경력
남종권,전문위원,경찰 경력
류완진,전문위원,
류중국,전문위원,
류해성,전문위원,
문영구,전문위원,경찰 경력
박남희,전문위원,
박대훈,전문위원,
박상조,전문위원,
박성진,전문위원,경찰 경력
박순재,전문위원,경찰 경력
박승도,전문위원,
박윤삼,전문위원,경찰 경력
박일재,전문위원,
선철주,전문위원,경찰 경력
송광근,전문위원,경찰 경력
엄재광,전문위원,
여연태,전문위원,경찰 경력
오희철,전문위원,
윤동호,전문위원,기업 법무팀 경력
윤종일,전문위원,
이광희,전문위원,
이상경,전문위원,경찰 경력
이상관,전문위원,경찰 경력
이상국,전문위원,경찰 경력
이승규,전문위원,관세 전문
이영하,전문위원,
이인복,전문위원,
이정훈,전문위원,경찰 경력
이한영,전문위원,경찰 경력
이현철,전문위원,
임동진,전문위원,경찰 경력
임만영,전문위원,
임영빈,전문위원,경찰 경력
장남철,전문위원,
전창일,전문위원,경찰 경력
정성욱,전문위원,
정종규,전문위원,
정홍구,전문위원,경찰 경력
최계원,전문위원,경찰 경력
최규진,전문위원,
최양위,전문위원,경찰 경력
최정림,전문위원,
하권삼,전문위원,경찰 경력
허영욱,전문위원,
황광현,전문위원,경찰 경력
김한기,자문위원,경찰 경력
양영구,자문위원,
장규호,자문위원,경찰 경력
전준열,자문위원,
정명갑,자문위원,경찰 경력
정진규,자문위원,
진학진,자문위원,
표승섭,자문위원,
황득수,자문위원,
