이름,분야코드,분야
박찬,IPK,부동산건설 | 행정 | 민사
한만수,FRG,기업법무 | 조세 | 지식재산권
권순일,ASFPKR,형사 | 금융증권 | 기업법무 | 행정 | 민사 | 조세
정창호,F,기업법무
배성범,ASGF,형사 | 금융증권 | 지식재산권 | 기업법무
박춘기,ASBFPK,형사 | 금융증권 | 성범죄 | 기업법무 | 행정 | 민사
한상진,ABDEGNP,형사 | 성범죄 | 마약 | 교통사고 | 지식재산권 | 중대재해 | 행정
김경,ASI,형사 | 금융증권 | 부동산건설
양호산,ASFGR,형사 | 금융증권 | 기업법무 | 지식재산권 | 조세
배인구,JLK,이혼 | 가사상속 | 민사
유병두,ASBDGMQ,형사 | 금융증권 | 성범죄 | 마약 | 지식재산권 | 군형사 | 의료
추원식,FR,기업법무 | 조세
최영운,SADO,금융증권 | 형사 | 마약 | 노동산재
변민선,AI,형사 | 부동산건설
나찬기,ASFO,형사 | 금융증권 | 기업법무 | 노동산재
천기홍,ASDFGR,형사 | 금융증권 | 마약 | 기업법무 | 지식재산권 | 조세
김정헌,SADGF,금융증권 | 형사 | 마약 | 지식재산권 | 기업법무
강경훈,AJ,형사 | 이혼
김범한,PKQ,행정 | 민사 | 의료
양동학,K,민사
변광호,ASBCDGOR,형사 | 금융증권 | 성범죄 | 학교폭력 | 마약 | 지식재산권 | 노동산재 | 조세
김동진,ASBDFGIK,형사 | 금융증권 | 성범죄 | 마약 | 기업법무 | 지식재산권 | 부동산건설 | 민사
정병실,SAFPK,금융증권 | 형사 | 기업법무 | 행정 | 민사
송각엽,ASIPOQR,형사 | 금융증권 | 부동산건설 | 행정 | 노동산재 | 의료 | 조세
김윤정,JKIL,이혼 | 민사 | 부동산건설 | 가사상속
진호식,SAGFI,금융증권 | 형사 | 지식재산권 | 기업법무 | 부동산건설
홍성준,ASCBDEKGFN,형사 | 금융증권 | 학교폭력 | 성범죄 | 마약 | 교통사고 | 민사 | 지식재산권 | 기업법무 | 중대재해
장일희,ACBDE,형사 | 학교폭력 | 성범죄 | 마약 | 교통사고
신재은,IKL,부동산건설 | 민사 | 가사상속
이상목,ASBDER,형사 | 금융증권 | 성범죄 | 마약 | 교통사고 | 조세
강진구,ASFKPR,형사 | 금융증권 | 기업법무 | 민사 | 행정 | 조세
박재완,ASFIKP,형사 | 금융증권 | 기업법무 | 부동산건설 | 민사 | 행정
김인중,IFKPOB,부동산건설 | 기업법무 | 민사 | 행정 | 노동산재 | 성범죄
현민석,GFIO,지식재산권 | 기업법무 | 부동산건설 | 노동산재
최진홍,AS,형사 | 금융증권
조인선,OFLNB,노동산재 | 기업법무 | 가사상속 | 중대재해 | 성범죄
김택형,ASBDEIJKPO,형사 | 금융증권 | 성범죄 | 마약 | 교통사고 | 부동산건설 | 이혼 | 민사 | 행정 | 노동산재
조은결,FSHK,기업법무 | 금융증권 | 회생파산 | 민사
이승엽,AOBFKIJ,형사 | 노동산재 | 성범죄 | 기업법무 | 민사 | 부동산건설 | 이혼
임효진,ABCFGKJL,형사 | 성범죄 | 학교폭력 | 기업법무 | 지식재산권 | 민사 | 이혼 | 가사상속
임우정,LR,가사상속 | 조세
지준연,SAFK,금융증권 | 형사 | 기업법무 | 민사
