성명,직위,출신구분,항목유형,내용
박찬,대표 변호사,부장판사출신,경력,서울중앙지법 부장판사(건설전문부 재판장 2002년~2004년)
박찬,대표 변호사,부장판사출신,경력,수원지방법원 여주지원 판사
박찬,대표 변호사,부장판사출신,경력,제45회 사법시험 3차 시험위원
박찬,대표 변호사,부장판사출신,경력,서울북부지방법원 판사
박찬,대표 변호사,부장판사출신,경력,서울 서초구선거관리위원회 위원장
박찬,대표 변호사,부장판사출신,경력,서울민사지방법원 판사
박찬,대표 변호사,부장판사출신,경력,변호사 개업(서울지방변호사회)
박찬,대표 변호사,부장판사출신,경력,서울고등법원 판사
박찬,대표 변호사,부장판사출신,경력,법무법인 정세 대표변호사
박찬,대표 변호사,부장판사출신,경력,서울지방법원 신청단독판사
박찬,대표 변호사,부장판사출신,경력,"현 법무법인 YK 대표변호사(부동산전문, 건설전문 변호사)"
박찬,대표 변호사,부장판사출신,경력,서울지방법원 형사단독판사
박찬,대표 변호사,부장판사출신,경력,제6회 변호사시험 민사법 출제위원
박찬,대표 변호사,부장판사출신,경력,광주지방법원 부장판사
박찬,대표 변호사,부장판사출신,경력,제7회 변호사시험 민사법 출제위원
박찬,대표 변호사,부장판사출신,경력,수원지방법원 성남지원 부장판사
박찬,대표 변호사,부장판사출신,경력,제10회 변호사시험 민사법 출제위원
박찬,대표 변호사,부장판사출신,업무사례,교통사고 손배사건의 신체감정인인 의사가 감정을 너무나 지연한 데 대해 피해자인 원고가 감정의를 상대로 손해배상을 청구한 사건에서
박찬,대표 변호사,부장판사출신,업무사례,원고청구를 일부 인용한 사건
박찬,대표 변호사,부장판사출신,업무사례,가수 K모씨의 미국 순회공연을 주최한 피고인이 K모씨를 협박한 공갈미수 사건에 대해 선고유예를 선고한 사건
박찬,대표 변호사,부장판사출신,업무사례,종중의 성립 경위와 종중 규약의 제정 경위 등에 비추어 종중의 실제를 부인하여 원고인 종중의 소를 각하한 사건
박찬,대표 변호사,부장판사출신,업무사례,"서울중앙지방법원에서 신청단독판사를 하면서 보전처분사건(가압류, 가처분사건)과 경매사건을 1년간 담당"
박찬,대표 변호사,부장판사출신,업무사례,(* 당시에는 경매사건을 지금과 같이 사법보좌관이 아닌 판사가 담당하였음)
박찬,대표 변호사,부장판사출신,업무사례,공무원이 당연퇴직사유가 발생하였는데 정년까지 계속 근무한 사안에서 국가가 공무원에게 당연퇴직사유 발생일 이후 정년까지의 급여를
박찬,대표 변호사,부장판사출신,업무사례,부당이득으로 반환청구한 사건
박찬,대표 변호사,부장판사출신,업무사례,심야에 교통법규를 위반한 수상한 차량을 경찰차가 추격하자 매우 빠르게 도주하다가 제3의 차량을 충격하여 제3의 차량 운전자가 부상한
박찬,대표 변호사,부장판사출신,업무사례,경우 제3의 차량 운전자가 국가를 상대로 손해배상을 청구한 사건
권순일,대표 변호사,대법관출신,경력,대법원 선임재판연구관
권순일,대표 변호사,대법관출신,경력,대구지방법원 부장판사
권순일,대표 변호사,대법관출신,경력,대법원 수석재판연구관
권순일,대표 변호사,대법관출신,경력,인천지방법원 부장판사
권순일,대표 변호사,대법관출신,경력,서울고등법원 부장판사
권순일,대표 변호사,대법관출신,경력,서울행정법원 부장판사
권순일,대표 변호사,대법관출신,경력,대법원 법원행정처 차장
권순일,대표 변호사,대법관출신,경력,대전지방법원 수석부장판사
권순일,대표 변호사,대법관출신,경력,대법원 대법관(~2020.9)
권순일,대표 변호사,대법관출신,경력,대전고등법원 부장판사
권순일,대표 변호사,대법관출신,경력,제20대 중앙선거관리위원회 위원장(~2020.10)
권순일,대표 변호사,대법관출신,경력,대전고등법원 수석부장판사
권순일,대표 변호사,대법관출신,경력,연세대학교 법학전문대학원 석좌교수
권순일,대표 변호사,대법관출신,저서·논문,증권투자권유자책임론
권순일,대표 변호사,대법관출신,저서·논문,주석 상법 (편집대표)
권순일,대표 변호사,대법관출신,저서·논문,공화국과 법치주의
권순일,대표 변호사,대법관출신,저서·논문,주석 채무자회생법 (편집대표)
권순일,대표 변호사,대법관출신,저서·논문,형사
권순일,대표 변호사,대법관출신,저서·논문,"경제범죄, 금융 · 조세 · 공정거래"
권순일,대표 변호사,대법관출신,저서·논문,민사 · 행정
권순일,대표 변호사,대법관출신,저서·논문,"헌법 · 행정, 손해배상, 기타 민사"
권순일,대표 변호사,대법관출신,저서·논문,증권금융
권순일,대표 변호사,대법관출신,저서·논문,"금융, 증권 쟁송"
정창호,대표 변호사,부장판사출신,경력,국제형사재판소(ICC) 재판관
정창호,대표 변호사,부장판사출신,경력,오스트리아대사관 사법협력관
정창호,대표 변호사,부장판사출신,경력,크메르루즈 국제전범재판소(ECCC) 유엔재판관
정창호,대표 변호사,부장판사출신,경력,"대법원 재판연구관, 서울고법 판사"
정창호,대표 변호사,부장판사출신,경력,"서울고등법원, 광주지법 부장판사"
정창호,대표 변호사,부장판사출신,경력,"서울중앙지법, 제주지법 판사"
정창호,대표 변호사,부장판사출신,경력,유엔국제무역법위원회 한국대표
정창호,대표 변호사,부장판사출신,경력,공군 법무관
정창호,대표 변호사,부장판사출신,경력,사법연수원 22기
정창호,대표 변호사,부장판사출신,수상,법조언론인클럽 올해의 법조인상 수상 (24.02.29)
박춘기,대표 변호사,부장판사출신,경력,창원지방법원 판사
박춘기,대표 변호사,부장판사출신,경력,울산지방법원 부장판사
박춘기,대표 변호사,부장판사출신,경력,부산지방법원 판사
박춘기,대표 변호사,부장판사출신,경력,부산지방법원 부장판사
박춘기,대표 변호사,부장판사출신,경력,부산고등법원 판사
박춘기,대표 변호사,부장판사출신,업무사례,민주노총 고위직 간부의 부하직원에 대한 성폭력범죄 사건 무죄판결(2016년)
박춘기,대표 변호사,부장판사출신,업무사례,지방직 고위 공무원의 뇌물수수 사건 무죄판결(2017년)
박춘기,대표 변호사,부장판사출신,업무사례,신협이사장의 특정범죄가중처벌등에관한법률위반 사건 무죄판결(2018년)
박춘기,대표 변호사,부장판사출신,업무사례,해외자금 유치와 관련된 중소기업 대표이사의 특경법위반 사건 무죄판결(2019년)
박춘기,대표 변호사,부장판사출신,업무사례,현직 변호사의 의뢰인 관련 공갈 및 증거인멸 사건 무죄판결(2023년)
박춘기,대표 변호사,부장판사출신,업무사례,다국적기업의 상생자금 관련 특경법위반 사건 무죄판결(2024년)
김경,대표 변호사,부장판사출신,경력,서울북부지방법원 판사
김경,대표 변호사,부장판사출신,경력,서울동부지방법원 판사
김경,대표 변호사,부장판사출신,경력,서울중앙지방법원 판사
김경,대표 변호사,부장판사출신,경력,청주지방법원 부장판사
김경,대표 변호사,부장판사출신,경력,청주지방법원 판사
김경,대표 변호사,부장판사출신,경력,의정부지법 고양지원 부장판사
김경,대표 변호사,부장판사출신,경력,의정부지방법원 판사
김경,대표 변호사,부장판사출신,경력,서울북부지방법원 부장판사
김경,대표 변호사,부장판사출신,경력,서울고등법원 판사
김경,대표 변호사,부장판사출신,경력,서울중앙지방법원 부장판사
김경,대표 변호사,부장판사출신,업무사례,국내 최초 증권관련 집단소송인 ○○은행 주가조작 손해배상사건
김경,대표 변호사,부장판사출신,업무사례,헌법상 권리인 표현의 자유 보장 및 그 한계가 큰 이슈가 된 천안함 피격 관련 영화의 상영금지가처분사건
김경,대표 변호사,부장판사출신,업무사례,부모사망 후 분묘 및 유해의 상속 및 관리주체에 관한 법리정립의 계기가 된 상속인들간 유해분쟁사건
김경,대표 변호사,부장판사출신,업무사례,국내 최대 우유 생산 업체인 서울우유협동조합 임직원들의 납품비리 뇌물사건
김경,대표 변호사,부장판사출신,업무사례,가정 내 애정표현의 범위 및 한계가 사회적 이슈가 된 가족간 성추행사건
배인구,대표 변호사,가정법원 부장판사출신,경력,이화여자대학교 법학전문대학원 겸임교수
배인구,대표 변호사,가정법원 부장판사출신,경력,서울지방법원 의정부지원 판사
배인구,대표 변호사,가정법원 부장판사출신,경력,서울지방변호사회 가사연수원장
배인구,대표 변호사,가정법원 부장판사출신,경력,서울북부지방법원 판사
배인구,대표 변호사,가정법원 부장판사출신,경력,사학분쟁조정위원회 위원
배인구,대표 변호사,가정법원 부장판사출신,경력,서울고등법원 판사
배인구,대표 변호사,가정법원 부장판사출신,경력,중앙행정심판위원회 비상임위원
배인구,대표 변호사,가정법원 부장판사출신,경력,헌법재판소 파견
배인구,대표 변호사,가정법원 부장판사출신,경력,국민권익위원회 반부패규범자문단 자문위원
배인구,대표 변호사,가정법원 부장판사출신,경력,서울중앙지방법원 판사
배인구,대표 변호사,가정법원 부장판사출신,경력,부산지방법원 울산지원 판사
배인구,대표 변호사,가정법원 부장판사출신,경력,서울가정법원 부장판사
배인구,대표 변호사,가정법원 부장판사출신,경력,대전지방법원 판사
배인구,대표 변호사,가정법원 부장판사출신,경력,서울중앙지방법원 부장판사
배인구,대표 변호사,가정법원 부장판사출신,업무사례,2018년 최태원 SK그룹 회장 대리인(이혼사건)
배인구,대표 변호사,가정법원 부장판사출신,업무사례,2021년 정몽익 KCC글라스 회장 대리인(이혼사건)
배인구,대표 변호사,가정법원 부장판사출신,업무사례,LG그룹 상속회복청구소송에서 세 모녀 측 대리
배인구,대표 변호사,가정법원 부장판사출신,업무사례,"유명 인플루언서 이혼소송 대리 외 고액의 이혼, 상속 재산분할사건 소송 대리"
변민선,대표 변호사,부장판사출신,경력,부산지방법원 판사
변민선,대표 변호사,부장판사출신,경력,서울북부지방법원 판사
변민선,대표 변호사,부장판사출신,경력,부산지방법원 동부지원 판사
변민선,대표 변호사,부장판사출신,경력,제주지방법원 부장판사
변민선,대표 변호사,부장판사출신,경력,의정부지방법원 판사
변민선,대표 변호사,부장판사출신,경력,의정부지방법원 부장판사
변민선,대표 변호사,부장판사출신,경력,서울북부지방법원 판사
변민선,대표 변호사,부장판사출신,경력,서울중앙지방법원 부장판사 (~2022.2)
변민선,대표 변호사,부장판사출신,경력,서울중앙지방법원 판사
변민선,대표 변호사,부장판사출신,업무사례,"아동·청소년의 성보호에 관한 법률 제2조 제5호, 제8조 제2항(아동ㆍ청소년이용음란물 소지죄)에 관한 위헌심판제청결정"
변민선,대표 변호사,부장판사출신,업무사례,"폭력행위등 처벌에 관한 법률 제3조 제1항, 제2조 제1항 제3호(흉기휴대 상해죄)에 관한 위헌심판제청결정"
변민선,대표 변호사,부장판사출신,업무사례,토지주가 제주특별자치도지사를 상대로 하여 신화·역사공원 조성사업에 관한 개발사업시행승인 취소 사건에서 원고 패소 판결
변민선,대표 변호사,부장판사출신,업무사례,"H자동차, K자동차 등의 자동차관리법위반 사건에서 자동차관리법 제78조 제1호, 제31조 제1항(자발적 리콜에 관한 형벌조항)에"
변민선,대표 변호사,부장판사출신,업무사례,관한 위헌심판제청결정
김동진,파트너 변호사,부장판사출신,경력,전북특별자치도 공직자윤리위원회 공직자윤리위원장
김동진,파트너 변호사,부장판사출신,경력,"춘천지방법원 부장판사, 형사재판부"
김동진,파트너 변호사,부장판사출신,경력,"전주지방법원 부장판사, 민사재판부"
김동진,파트너 변호사,부장판사출신,경력,춘천 선거관리위원회 선거관리위원장
김동진,파트너 변호사,부장판사출신,경력,영등포 선거관리위원회 선거관리위원장
김동진,파트너 변호사,부장판사출신,경력,"대법원 재판연구관, 형사공동조"
김동진,파트너 변호사,부장판사출신,경력,"서울남부지방법원 부장판사, 민사 및 형사재판부"
김동진,파트너 변호사,부장판사출신,경력,"서울고등법원 판사, 민사재판부"
김동진,파트너 변호사,부장판사출신,경력,"서울중앙지방법원 부장판사, 민사재판부"
김동진,파트너 변호사,부장판사출신,경력,스위스 바젤대학교 법원 파견 국외연수
김동진,파트너 변호사,부장판사출신,경력,"인천지방법원 부장판사, 민사 및 형사재판부"
김동진,파트너 변호사,부장판사출신,경력,"부산지방법원 판사, 형사재판부"
김동진,파트너 변호사,부장판사출신,경력,부평 선거관리위원회 선거관리위원장
김동진,파트너 변호사,부장판사출신,경력,"서울중앙지방법원 판사, 민사 및 형사재판부"
김동진,파트너 변호사,부장판사출신,경력,"수원지방법원 성남지원 부장판사, 민사재판부"
김동진,파트너 변호사,부장판사출신,경력,"수원지방법원 판사, 민사재판부"
김동진,파트너 변호사,부장판사출신,경력,분당 선거관리위원회 선거관리위원장
김동진,파트너 변호사,부장판사출신,저서·논문,"지식재산권에 관한 형사소송 집필 (3판, 2012)"
김동진,파트너 변호사,부장판사출신,저서·논문,"특허권침해금지가처분 집필 (초판, 2001)"
