페이지,성명,직위,출신구분,사법시험,사법연수원,학력,경력수,업무사례수,저서수,수상수,전문분야
3,박찬,대표 변호사,부장판사출신,제22회 사법시험 합격,제12기 사법연수원 수료,서울대학교 법과대학원 졸업,17,10,0,0,
4,권순일,대표 변호사,대법관출신,제22회 사법시험 합격,제14기 사법연수원 수료,서울대학교 대학원 법학박사(상법전공),13,0,10,0,"형사:경제범죄, 금융 · 조세 · 공정거래 / 민사 · 행정:헌법 · 행정, 손해배상, 기타 민사 / 증권금융:금융, 증권 쟁송"
5,정창호,대표 변호사,부장판사출신,,,서울대학교 대학원 국제법석사 / 서울대학교 법과대학 학사 / 서울 여의도고등학교,9,0,0,1,
6,박춘기,대표 변호사,부장판사출신,제33회 사법시험 합격,제23기 사법연수원 수료,영남대학교 법학과 졸업,5,6,0,0,
7,김경,대표 변호사,부장판사출신,제34회 사법시험 합격,제24기 사법연수원 수료,서울대학교 법과대학원 졸업,10,5,0,0,
8,배인구,대표 변호사,가정법원 부장판사출신,제35회 사법시험 합격,제25기 사법연수원 수료,서울대학교 법과대학원 졸업,14,4,0,0,
9,변민선,대표 변호사,부장판사출신,제38회 사법시험 합격,제28기 사법연수원 수료,서울대학교 사회학과 졸업,9,5,0,0,
10,김동진,파트너 변호사,부장판사출신,,,"서울대학교 법학과 졸업 / 서울중앙지방법원 판사, 민사 및 형사재판부 / 수원지방법원 판사, 민사재판부",17,0,6,0,
11,김윤정,파트너 변호사,부장판사출신,제42회 사법시험 합격,제32기 사법연수원 수료,고려대학교 법학과 졸업,14,13,0,0,
12,정병실,파트너 변호사,부장판사출신,제40회 사법시험 합격,제30기 사법연수원 수료,중앙대학교 법학과 졸업,8,7,0,0,
13,송각엽,파트너 변호사,부장판사출신,제41회 사법시험 합격,제31기 사법연수원 수료,서울대학교 사법학과 졸업,8,7,0,0,
14,김택형,파트너 변호사,판사출신,제50회 사법시험 합격,제40기 사법연수원 수료,경찰대학교 법학과 졸업,9,8,0,0,
15,양동학,고문 변호사,판사출신,제26회 사법시험 합격,제16기 사법연수원 수료,한양대학교 법학과 졸업,8,6,0,0,
